PULocationID,borough,zone,service_zone,origin_borough,destination_borough,borough_pair,route_id,route_name
161,Manhattan,Midtown Center,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
162,Manhattan,Midtown East,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
163,Manhattan,Midtown North,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
164,Manhattan,Midtown South,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
166,Manhattan,Morningside Heights,Boro Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
170,Manhattan,Murray Hill,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
194,Manhattan,Randalls Island,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
202,Manhattan,Roosevelt Island,Boro Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
209,Manhattan,Seaport,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
211,Manhattan,SoHo,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,Manhattan,Queens,Manhattan->Queens,11,corridor_11_manhattan_to_queens
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
230,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
233,Manhattan,UN/Turtle Bay South,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
234,Manhattan,Union Sq,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
236,Manhattan,Upper East Side North,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
237,Manhattan,Upper East Side South,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
238,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
239,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
243,Manhattan,Washington Heights North,Boro Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
244,Manhattan,Washington Heights South,Boro Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
249,Manhattan,West Village,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
261,Manhattan,World Trade Center,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
262,Manhattan,Yorkville East,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
263,Manhattan,Yorkville West,Yellow Zone,Manhattan,Staten Island,Manhattan->Staten Island,12,corridor_12_manhattan_to_staten_island
1,EWR,Newark Airport,EWR,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
2,Queens,Jamaica Bay,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
7,Queens,Astoria,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
8,Queens,Astoria Park,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
9,Queens,Auburndale,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
10,Queens,Baisley Park,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
15,Queens,Bay Terrace/Fort Totten,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
16,Queens,Bayside,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
19,Queens,Bellerose,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
28,Queens,Briarwood/Jamaica Hills,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
30,Queens,Broad Channel,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
38,Queens,Cambria Heights,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
53,Queens,College Point,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
56,Queens,Corona,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
57,Queens,Corona,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
64,Queens,Douglaston,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
70,Queens,East Elmhurst,Boro Zone,Queens,Bronx,Queens->Bronx,13,corridor_13_queens_to_bronx
73,Queens,East Flushing,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
82,Queens,Elmhurst,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
83,Queens,Elmhurst/Maspeth,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
86,Queens,Far Rockaway,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
92,Queens,Flushing,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
93,Queens,Flushing Meadows-Corona Park,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
95,Queens,Forest Hills,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
96,Queens,Forest Park/Highland Park,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
98,Queens,Fresh Meadows,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
101,Queens,Glen Oaks,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
102,Queens,Glendale,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
117,Queens,Hammels/Arverne,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
121,Queens,Hillcrest/Pomonok,Boro Zone,Queens,Brooklyn,Queens->Brooklyn,14,corridor_14_queens_to_brooklyn
